month	year	value
1	1	-0.05
1	2	-0.07
1	3	0.09
1	4	-0.27
1	5	-0.23
1	6	-0.44
1	7	-0.18
1	8	-0.52
1	9	-0.32
1	10	-0.02
1	11	-0.32
1	12	-0.38
1	13	-0.22
1	14	-0.71
1	15	-0.41
1	16	-0.43
1	17	-0.14
1	18	-0.12
1	19	0
1	20	-0.13
1	21	-0.32
1	22	-0.13
1	23	-0.11
1	24	-0.24
1	25	-0.6
1	26	-0.35
1	27	-0.14
1	28	-0.37
1	29	-0.37
1	30	-0.58
1	31	-0.35
1	32	-0.55
1	33	-0.27
1	34	-0.35
1	35	0.11
1	36	-0.15
1	37	-0.13
1	38	-0.53
1	39	-0.33
1	40	-0.23
1	41	-0.2
1	42	-0.08
1	43	-0.31
1	44	-0.24
1	45	-0.22
1	46	-0.4
1	47	0.13
1	48	-0.23
1	49	-0.08
1	50	-0.49
1	51	-0.34
1	52	-0.03
1	53	0.15
1	54	-0.28
1	55	-0.3
1	56	-0.28
1	57	-0.27
1	58	-0.18
1	59	0.02
1	60	-0.11
1	61	0.01
1	62	0.27
1	63	0.3
1	64	-0.03
1	65	0.39
1	66	0.17
1	67	0.25
1	68	-0.16
1	69	0.07
1	70	0.12
1	71	-0.29
1	72	-0.28
1	73	0.13
1	74	0.09
1	75	-0.2
1	76	0.14
1	77	-0.14
1	78	-0.09
1	79	0.32
1	80	0.15
1	81	0.04
1	82	0.13
1	83	0.12
1	84	0.06
1	85	0.01
1	86	-0.07
1	87	-0.05
1	88	-0.09
1	89	-0.2
1	90	-0.09
1	91	0.14
1	92	0
1	93	-0.25
1	94	0.28
1	95	-0.19
1	96	0.11
1	97	-0.02
1	98	0.13
1	99	0.16
1	100	0.15
1	101	0.33
1	102	0.51
1	103	0.14
1	104	0.52
1	105	0.29
1	106	0.22
1	107	0.31
1	108	0.32
1	109	0.56
1	110	0.17
1	111	0.36
1	112	0.42
1	113	0.46
1	114	0.36
1	115	0.27
1	116	0.56
1	117	0.25
1	118	0.34
1	119	0.6
1	120	0.51
1	121	0.34
1	122	0.47
1	123	0.71
1	124	0.71
1	125	0.61
1	126	0.65
1	127	0.5
1	128	0.91
1	129	0.27
1	130	0.6
1	131	0.73
1	132	0.46
1	133	0.44
1	134	0.62
1	135	0.69
1	136	0.83
1	137	1.12
1	138	0.97
1	139	0.75
1	140	0.93
1	141	1.13
1	142	0.77
2	1	-0.14
2	2	-0.06
2	3	0.02
2	4	-0.35
2	5	-0.18
2	6	-0.29
2	7	-0.32
2	8	-0.46
2	9	-0.27
2	10	0.04
2	11	-0.33
2	12	-0.54
2	13	-0.12
2	14	-0.61
2	15	-0.24
2	16	-0.4
2	17	-0.11
2	18	-0.09
2	19	-0.28
2	20	-0.32
2	21	-0.07
2	22	-0.08
2	23	-0.05
2	24	-0.09
2	25	-0.56
2	26	-0.62
2	27	-0.23
2	28	-0.48
2	29	-0.36
2	30	-0.46
2	31	-0.4
2	32	-0.57
2	33	-0.13
2	34	-0.41
2	35	-0.11
2	36	0
2	37	-0.16
2	38	-0.58
2	39	-0.38
2	40	-0.11
2	41	-0.32
2	42	-0.18
2	43	-0.31
2	44	-0.42
2	45	-0.19
2	46	-0.39
2	47	0.03
2	48	-0.19
2	49	-0.16
2	50	-0.57
2	51	-0.23
2	52	-0.22
2	53	-0.17
2	54	-0.32
2	55	-0.08
2	56	0.17
2	57	-0.3
2	58	0.03
2	59	-0.01
2	60	-0.09
2	61	0.13
2	62	0.34
2	63	0.07
2	64	0.11
2	65	0.28
2	66	0.06
2	67	0.14
2	68	-0.07
2	69	-0.1
2	70	-0.14
2	71	-0.23
2	72	-0.39
2	73	0.11
2	74	0.18
2	75	-0.06
2	76	-0.1
2	77	-0.24
2	78	-0.07
2	79	0.22
2	80	0.08
2	81	0.21
2	82	0.2
2	83	0.17
2	84	0.27
2	85	-0.07
2	86	-0.19
2	87	-0.03
2	88	-0.18
2	89	-0.12
2	90	-0.08
2	91	0.24
2	92	-0.19
2	93	-0.15
2	94	0.41
2	95	-0.25
2	96	0.06
2	97	-0.12
2	98	0.26
2	99	0.15
2	100	0.05
2	101	0.39
2	102	0.4
2	103	0.19
2	104	0.49
2	105	0.18
2	106	0.05
2	107	0.3
2	108	0.49
2	109	0.44
2	110	0.3
2	111	0.41
2	112	0.45
2	113	0.43
2	114	0.38
2	115	0.07
2	116	0.73
2	117	0.46
2	118	0.44
2	119	0.87
2	120	0.7
2	121	0.55
2	122	0.41
2	123	0.78
2	124	0.59
2	125	0.73
2	126	0.55
2	127	0.7
2	128	0.68
2	129	0.36
2	130	0.55
2	131	0.79
2	132	0.45
2	133	0.45
2	134	0.66
2	135	0.48
2	136	0.87
2	137	1.26
2	138	1.02
2	139	0.76
2	140	0.85
2	141	1.16
2	142	0.63
3	1	-0.08
3	2	0.05
3	3	0
3	4	-0.17
3	5	-0.28
3	6	-0.24
3	7	-0.28
3	8	-0.22
3	9	-0.28
3	10	0.15
3	11	-0.31
3	12	-0.23
3	13	-0.24
3	14	-0.23
3	15	-0.27
3	16	-0.32
3	17	-0.22
3	18	-0.11
3	19	-0.65
3	20	-0.32
3	21	-0.04
3	22	-0.03
3	23	-0.22
3	24	-0.25
3	25	-0.56
3	26	-0.38
3	27	-0.17
3	28	-0.31
3	29	-0.58
3	30	-0.5
3	31	-0.51
3	32	-0.59
3	33	-0.31
3	34	-0.45
3	35	-0.18
3	36	-0.09
3	37	-0.28
3	38	-0.63
3	39	-0.31
3	40	-0.23
3	41	-0.09
3	42	-0.25
3	43	-0.11
3	44	-0.33
3	45	-0.08
3	46	-0.24
3	47	0.06
3	48	-0.3
3	49	-0.26
3	50	-0.31
3	51	-0.08
3	52	-0.01
3	53	-0.19
3	54	-0.28
3	55	-0.32
